file,segment,width,MDM/PROFILE,LOG/SYSTEM,BUG_TYPE,NET/ENERGY,APPS/FIN/SNS,JOURNAL/SHORTCUT/CALENDAR,EXT/INTEGRATION/UIJACK,VENDORS,VULN/CHIP/FW,FLAME
Analytics-2025-06-02-072604.ips.ca.synced,head,222,0,0,1,0,0,0,0,0,0,0
Analytics-2025-06-02-072604.ips.ca.synced,head,888,0,0,1,0,0,0,0,0,0,0
Analytics-2025-06-02-072604.ips.ca.synced,head,2288,0,0,5,0,0,0,0,0,0,0
Analytics-2025-06-02-072604.ips.ca.synced,head,8888,0,0,5,0,0,0,0,0,0,0
Analytics-2025-06-02-072604.ips.ca.synced,head,12288,0,0,5,0,0,0,0,0,0,0
Analytics-2025-06-02-072604.ips.ca.synced,head,18888,0,0,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,22288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,28888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,32288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,38888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,42288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,48888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,52288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,58888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,62888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,68888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,72288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,78888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,82288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,88888,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,92288,0,3,11,0,0,0,0,0,0,2
Analytics-2025-06-02-072604.ips.ca.synced,head,98888,0,3,11,0,0,0,0,0,0,2
